size,oblas,naive,p+naive,switch,p+switch,trans,p+trans,block8,block16,p+block8,p+block16,s+block8,s+block16,p+s+block8,p+s+block16,p+s+block32
2,60810.5;60590.5,55;15,385448;383954,150;110,2575;280,791.5;691.5,2509.5;235.5,225.5;164.5,115;75,2505;291,2209;75,255.5;215.5,100.5;70.5,1187.5;55.5,1072.5;0.5,62062.5;25593.5
4,541;440,105;25,1382.5;270.5,125.5;45.5,2374.5;40.5,155.5;55.5,2344.5;9.5,110;20,65.5;4.5,2269;105,2164;0,120.5;40.5,65.5;4.5,1092;20,1082;20,1072;40
8,551;381,230.5;20.5,1312.5;89.5,456;45,2575;60,270.5;50.5,2384.5;0.5,275.5;175.5,215.5;15.5,2525;180,2294.5;50.5,2124.5;2003.5,386;25,1382.5;270.5,1182.5;120.5,1062;30
16,590.5;200.5,861.5;19.5,1462.5;210.5,1568;65,3115.5;70.5,2309.5;816.5,2755.5;29.5,461;50,1077;135,2715.5;80.5,3251.5;185.5,701.5;29.5,1578;1117,1483;211,8326;6883,1357.5;125.5
32,3246;1443,6547.5;14.5,3140.5;235.5,7239;196,4478.5;180.5,14818;1583,3722;45,3301.5;225.5,7424;10,4789;270,11867;155,4999.5;59.5,3286.5;39.5,2835.5;120.5,4564;245,8406;4378
64,10550.5;290.5,72813.5;1678.5,15895.5;2499.5,35693;1869,7835;2064,126335;14693,7830;1939,23960.5;615.5,58120.5;70.5,10295;2129,17032.5;190.5,38714;311,24657;70,6687.5;2119.5,7133.5;140.5,12915;291
128,71205.5;2584.5,1.7121e+06;8361,147194;5795.5,247140;240.5,31079;2325,1.1746e+06;11141,27176.5;225.5,257764;535.5,475504;150.5,28549.5;2530.5,62153;25,318390;747,201568;1989,19091.5;1978.5,29586;3256,52985.5;3401.5
256,538177;2830,2.98815e+07;21405.5,4.37874e+06;2.05961e+06,2.26319e+06;134155,210354;1598.5,9.5389e+06;158090,744128;528780,2.42942e+06;12995,4.18091e+06;33723.5,1.04681e+06;203426,975578;16366,2.93941e+06;254388,1.39668e+06;491,547304;199654,265088;108692,284711;6974
512,4.10169e+06;99379,7.27157e+08;6.79361e+06,6.35086e+07;6.30666e+06,1.42693e+07;509874,2.92411e+06;372748,8.16085e+07;2.90745e+06,2.03167e+07;1.20745e+06,5.47023e+07;114608,1.11462e+08;26305,6.12301e+06;278248,2.16778e+07;118731,2.29537e+07;166511,1.20559e+07;10760.5,2.41766e+06;254734,1.8718e+06;41929.5,1.60957e+06;5886.5
1024,3.19386e+07;239921,5.93635e+09;1.03879e+07,5.05612e+08;1.75664e+07,1.09625e+08;742580,2.46293e+07;1.10487e+06,6.37637e+08;1.37075e+06,2.01944e+07;520378,3.93061e+08;1.26189e+07,9.19594e+08;6.97788e+06,4.09589e+07;3.05628e+06,1.66969e+08;4.42428e+06,1.92693e+08;364102,1.03877e+08;528579,1.64438e+07;374150,1.39559e+07;98757.5,1.32089e+07;128238
