size,oblas,naive,p+naive,switch,p+switch,trans,p+trans,block8,block16,p+block8,p+block16,s+block8,s+block16,p+s+block8,p+s+block16,p+s+block32
2,67994.5;67713.5,85;25,622818;620804,235;195,3041;215,881.5;771.5,2655;250,356;295,105;75,2845.5;80.5,2525;30,275.5;215.5,110;80,1408;85,1157.5;55.5,1247.5;25.5
4,431;310,115.5;24.5,1272.5;10.5,135.5;35.5,2550;35,165;65,2449.5;65.5,105.5;25.5,65;5,2519.5;75.5,2484.5;9.5,105;25,70;0,1222;60,1202.5;89.5,1192.5;19.5
8,445.5;265.5,270.5;19.5,1277.5;44.5,285.5;54.5,2530;55,285.5;45.5,2500;35,266;185,225.5;24.5,2469.5;85.5,2469.5;45.5,2449.5;2349.5,420.5;29.5,1383;20,1227.5;64.5,1227;45
16,956.5;586.5,926.5;15.5,1477.5;95.5,1507.5;45.5,3411.5;195.5,1643;100,2655;30,446;35,1142;150,2365;30,3556.5;100.5,531;30,867;446,1237.5;65.5,1367.5;175.5,1402;30
32,1497.5;265.5,5791;20,2755.5;110.5,6377.5;115.5,4148;160,15059;1022,3146;20,2870.5;54.5,10860;3146,10154;5966,6978.5;245.5,3667;60,2890.5;24.5,2209;155,1918.5;85.5,487661;484225
64,6632.5;250.5,43628;45,6537;686,29290.5;626.5,5205;105,118495;3216,4123;65,22262.5;511.5,61161;25,280969;272963,161487;143292,28789.5;115.5,22913.5;30.5,68700;27853,56342;345,16611.5;6572.5
128,39981;676,1.01331e+06;1227,132718;75.5,146914;2499.5,16266;316,1.18464e+06;23429.5,16842;10,174626;545.5,490802;10.5,29882;15,122137;95,227252;2485,178284;105,12058;35,49008;1297,50680.5;13941.5
256,276204;4889.5,1.25357e+07;424807,1.59532e+06;377222,1.08716e+06;26425.5,115289;1392,9.89527e+06;169892,748682;448542,1.66641e+06;118516,3.96566e+06;12554,577912;116446,710420;219458,1.89138e+06;130,1.43157e+06;3256.5,571816;471496,666526;525258,359147;105135
512,2.02879e+06;34876.5,3.7185e+08;196798,2.91502e+07;1.49589e+06,8.11632e+06;212824,1.83867e+06;962744,8.3547e+07;143578,1.51052e+06;658270,1.52806e+07;166742,3.7231e+07;50872.5,3.02137e+06;142982,8.78132e+06;260490,1.702e+07;41013,1.26342e+07;114779,1.497e+06;547936,626305;1548,868374;32867.5
1024,1.62261e+07;8546,6.00053e+09;6.82469e+07,5.90613e+08;2.92408e+06,6.25794e+07;1.03699e+06,1.49753e+07;4.43315e+06,6.46153e+08;1.15599e+07,9.90206e+06;182542,3.76734e+08;191582,9.22277e+08;4.97054e+06,5.84449e+07;1.313e+06,1.69419e+08;2.41773e+07,1.36194e+08;1.73624e+06,9.75468e+07;5.27517e+06,1.32888e+07;482080,6.91289e+06;23529.5,7.05888e+06;111160
