size,oblas,naive,p+naive,switch,p+switch,trans,p+trans,block8,block16,p+block8,p+block16,s+block8,s+block16,p+s+block8,p+s+block16,p+s+block32
2,150470;150240,55;15,603271;601348,85;25,3306.5;430.5,1062;982,3170.5;305.5,380.5;310.5,45.5;4.5,3081;215,3066;150,401;361,35;5,1567.5;105.5,1402.5;0.5,1513;70
4,436;326,95.5;25.5,1458;65,105;25,3035.5;140.5,180;80,2880.5;24.5,115.5;34.5,60;10,2976;50,2905.5;9.5,130;40,75;5,1453;30,1362.5;20.5,1272.5;30.5
8,631;451,265.5;24.5,1418;35,436;55,3196;60,356;45,2980.5;25.5,420;50,271;30,2970.5;185.5,2850.5;14.5,4388;3887,416;25,1638;195,1408;25,1413;10
16,1568;1187,1543;20,1848.5;125.5,2940.5;155.5,4073;45,1728.5;75.5,3361.5;55.5,2880.5;45.5,1583;50,4684;165,5640.5;80.5,3356.5;69.5,2439.5;646.5,1998.5;54.5,1778;265,1683;0
32,1703;471,13466;30,3917.5;170.5,21706.5;275.5,6187;85,16276;1709,5535.5;15.5,22217.5;55.5,12018;15,11221.5;391.5,32161;20,25358;100,13756.5;50.5,401077;175138,309804;67844,82241;14172
64,6647.5;255.5,114338;50.5,9844;616,169322;251,12859.5;356.5,125088;6041.5,11056;5,176891;395,95286;35,15304;406,49699.5;335.5,199755;75,107870;45,10340;3717,10450;20,20213.5;65.5
128,40216.5;1032.5,1.21492e+06;1362,141188;2875.5,1.23352e+06;4995,88673.5;175.5,1.21034e+06;23019,77252;235,1.4127e+06;2519.5,762975;1838,613075;537110,190467;95,1.59059e+06;1938.5,788504;64517.5,45216;15820,38974;110,82377;3917
256,281991;12168,1.23213e+07;72452.5,1.88416e+06;650176,6.61206e+06;810315,1.73971e+06;109888,9.36276e+06;320368,4.53558e+06;3.8991e+06,8.9832e+06;1.65404e+06,4.5291e+06;46538.5,1.42018e+06;640327,948498;19381.5,8.81947e+06;935823,4.65339e+06;29205,542752;18966.5,414743;45642,375709;3431
512,1.93545e+06;59563,3.17179e+08;2.66343e+06,2.46588e+07;3.20273e+06,5.07252e+07;5.31506e+06,2.46262e+07;2.14889e+06,7.94203e+07;1.2513e+06,6.89283e+06;348948,6.17067e+07;2.7039e+06,4.62541e+07;747260,7.28124e+06;457238,1.29752e+07;349484,6.41451e+07;272077,4.36993e+07;613296,2.30735e+06;17603.5,2.27348e+06;78769.5,1.95195e+06;18500.5
1024,1.61954e+07;491914,5.91432e+09;5.63946e+06,4.18304e+08;2.69924e+07,3.50639e+08;865186,5.66355e+07;1.72958e+06,6.35451e+08;3.87535e+06,5.07019e+07;54233,5.45674e+08;3.86676e+06,1.03718e+09;3.54873e+06,1.22484e+08;1.67854e+06,2.22262e+08;126832,4.97892e+08;1.31469e+06,3.16258e+08;9.56139e+06,2.08974e+07;493072,1.74398e+07;173048,1.53137e+07;179942
